norwegian,english
jeg,I
det,the
er,is
du,you
ikke,not
en,one
og,and
i,in
har,hair
vi,we
på,on
å,to
til,to
deg,you
med,with
meg,me
han,he
for,before
hva,what
som,seam
at,that
så,so
kan,can
de,the
den,it
var,our
vil,will
om,about
av,of
men,but
skal,toast
et,a
ja,yes
her,here
hun,she
bare,only
dette,this
dere,you
må,must
noe,something
nei,no
vet,know
nå,now
ham,him
min,my
ut,out
kom,come
da,then
din,your
oss,us
ha,have
gjør,do
hvor,where
fra,from
være,be
noen,some
der,there
dem,them
igjen,again
se,see
ta,toe
ville,would
kommer,is coming
alle,all
går,goes
alt,all
tror,believe
hvorfor,why
hvordan,how
få,few
gjøre,do
hvis,if
opp,up
seg,themselves
ingen,no
hadde,had
sa,so
bra,abrupt
henne,her
får,sheep
når,when
blir,becomes
takk,thanks
gå,go
eller,or
bli,become
si,say
ser,looking
hvem,whose
la,let
hei,hi
litt,a little
inn,in
etter,after
ble,became
denne,this
kanskje,maybe
tilbake,back
aldri,never
vel,well
ok,okay
skulle,was supposed to
jo,yes
trenger,need
to,two
sier,says
kunne,could
vært,been
mer,more
også,also
før,before
over,over
man,Mon
tar,takes
mye,much
selv,self
god,good
gi,give
nok,enough
mitt,mine
hans,his
sammen,together
gjorde,did
dag,day
enn,than
gang,time
andre,others
vær,weather
fikk,got
ned,down
sett,set
mine,mine
greit,okay
siden,since
ditt,yours
helt,hero
mot,courage
år,year
faen,the hell
hele,whole
deres,their
snakke,talk
komme,come
godt,well
ved,by
fordi,because
gjort,done
dra,drag
rett,court
liker,like
mann,man
folk,folk
alltid,always
mener,mean
mange,many
dine,yours
sånn,like that
sant,true
ting,thing
tok,took
vent,wait
vår,our
hjem,home
tre,three
finne,find
unnskyld,excuse me
beklager,sorry
veldig,very
hold,hold
burde,should
tid,time
ingenting,nothing
trodde,believed
uten,without
hit,here
bedre,better
gikk,went
hjelpe,help
morgen,morning
livet,life
akkurat,just
vite,know
kveld,evening
visste,knew
virkelig,really
elsker,love
skjer,happens
slik,such
lenge,for a long time
snakker,talking
sir,sir
kjenner,knows
sin,his
samme,same
står,stands
far,father
ute,out
første,first
hjelp,help
feil,error
snill,kind
død,death
herregud,my god
forstår,understands
disse,these
pappa,dad
gir,gives
siste,last
hennes,hers
mamma,mom
helvete,hell
fant,found
én,one
eneste,only
hør,listen
under,under
sted,place
blitt,became
barn,child
vei,way
bør,should
klar,clear
holder,holder
heter,is called
skjedde,happened
slutt,end
visst,sure
prøver,samples
penger,money
drepe,kill
fint,fine
hallo,hello
tro,believe
mr.,Mr.
husker,remember
drar,leaves
døde,died
borte,away
mor,tender
redd,afraid
snart,soon
rundt,around
beste,best
holde,hold
faren,the father
like,like
finner,finds
våre,ours
høre,hear
bilen,the car
flere,more
verden,world
tatt,taken
hver,each
gud,God
venn,friend
annet,other
hos,at
hører,hears
måtte,had to
veien,the road
fortelle,tell
bort,away
først,first
inne,inside
fått,received
glad,glad
ga,go
gjennom,through
heller,rather
stor,big
betyr,means
liv,life
tiden,the time
lei,fed up
sikker,sure
neste,next
mannen,the man
sikkert,certainly
lenger,longer
fortsatt,still
annen,other
gjerne,welcome
hørte,heard
unna,away
nye,new
sagt,said
fem,five
vekk,away
alene,alone
hatt,hat
snakket,spoke
flott,great
derfor,therefore
store,large
skjønner,understand
føler,feeling
menn,men
klart,clear
ny,new
liten,small
jobber,works
mr,Mr
dø,die
håper,hope
jævla,damn
grunn,shallow
ennå,yet
klarer,manage
dager,days
tenkte,thought
politiet,the police
byen,the city
ganger,times
pengene,the money
jobb,job
langt,far
venner,friends
sitt,sit
faktisk,actual
nesten,almost
drepte,killed
huset,the house
jobben,the job
kjære,dear
minutter,minutes
gamle,old
hjemme,at home
venter,waiting
ellers,else
dagen,the day
vårt,ours
hverandre,each other
fire,four
begge,both
navn,name
dit,there
moren,the mother
gutt,boy
be,pray
bak,behind
hørt,heard
natt,night
fort,fast
nettopp,precisely
familien,the family
ferdig,ready
herfra,from here
drept,killed
virker,works
tenk,think
mens,while
stedet,the place
møte,fashion
stille,quietly
ei,a
dollar,dollars
lille,little
engang,sometime
ett,one
måte,manner
dårlig,bad
hyggelig,nice
sine,theirs
hodet,the head
funnet,found
orden,order
synes,seems
gode,good
ganske,quite
par,couple
senere,later
begynner,begins
galt,wrong
ba,asked
prøve,try
slå,beat
tenker,thinking
vanskelig,difficult
vise,show
lkke,I don't
ringer,calls
slags,kind of
ti,ten
allerede,already
ønsker,wishes
del,part
fortell,tell
gått,gone
hvilken,which
prøvde,tried
pokker,heck
tenke,imagine
saken,the case
skyld,blame
klare,clear
gammel,old
bruke,use
uansett,regardless
slipp,let go
mistet,lost
viktig,important
spør,track
sånt,that sort of thing
helst,preferably
jente,girl
øyeblikk,moment
tenkt,thought
spørsmål,question
mellom,between
bor,lives
mi,mi
dør,door
egen,own
kvinne,woman
ligger,lies
ord,word
stopp,stop
dro,left
stemmer,votes
rolig,calm
a,a
nytt,new
ber,prays
fortalte,told
riktig,right
all,all
fin,fine
kommet,arrived
stå,stand
lett,easy
timer,hours
vente,wait
redde,save
spise,eat
høres,is heard
treffe,hit
setter,sets
mennesker,people
jenta,the girl
sitter,sitting
sønn,son
legg,leg
slapp,relaxed
velkommen,welcome
spiller,player
bryr,care
ringe,ring
syns,visible
skje,happen
kaptein,captain
fyr,dude
mat,food
sette,set
john,John
jobbet,worked
fyren,the guy
di,you
leve,live
tak,roof
enda,yet
seks,six
selvsagt,of course
egentlig,actually
bruker,user
mulig,possible
gutten,the boy
åpne,open
finnes,exist
jack,jack
best,the best
lang,long
problem,problem
full,full
problemer,problems
ses,seen
videre,further
navnet,the name
lever,liver
holdt,held
imot,against
utenfor,outside
spørre,ask
utrolig,incredible
satt,set
kone,wife
dreper,kills
sent,late
tom,empty
fins,exists
nede,down
oppe,upstairs
ring,ring
kjeft,shut up
lar,thigh
skjedd,happened
begynte,began
kona,the wife
ringte,called
hus,house
hater,hate
mindre,less
hente,pick up
fantastisk,fantastic
hjelper,helps
new,new
fremdeles,still
barna,the children
gutter,boys
jobbe,work
handler,acts
mest,most
spille,play
selvfølgelig,of course
stort,large
fram,forth
kaller,calling
ro,rest
vennen,the friend
glem,forget
rommet,the room
kjøre,drive
øynene,the eyes
tusen,thousand
vann,water
forsiktig,careful
sjanse,chance
skolen,the school
kjører,driving
løp,run
gal,crazy
lover,promises
herr,Mr
gangen,the hallway
resten,the rest
side,page
pass,passport
fred,peace
sønnen,the son
lage,make
plass,room
familie,family
sannheten,the truth
ekte,genuine
kjent,known
fri,free
uke,week
foran,in front
våpen,weapon
fast,solid
an,an
lite,little
broren,the brother
måneder,months
landet,the country
snakk,talk
s,pp
hvert,each
driver,driver
tur,trip
tidligere,previous
kvinner,women
the,the
ønske,desire
prøv,try
bil,car
valg,choice
legge,add
bror,brother
føles,feels
vondt,hurt
miss,miss
straks,immediately
kjøpe,purchase
gitt,granted
stund,while
laget,made
jøss,geez
rom,room
pa,on
tidlig,early
begynne,begin
idé,idea
fly,fly
mente,meant
telefonen,the phone
time,hour
tide,time
passer,fits
hendene,the hands
blod,blood
vis,show
perfekt,perfect
kjente,known
sint,angry
lære,learn
rart,strange
verre,worse
dritt,crap
sove,sleep
betale,pay
svar,answer
svært,very
sam,together
frank,Frank
gift,married
gjelder,applies
ventet,waited
sendte,sent
finn,find
lager,stock
altså,that is
fengsel,prison
sist,last
unge,young
likevel,nevertheless
ille,bad
uker,weeks
fortsett,continue
viser,shows
stoppe,stop
klarte,managed
hånd,hand
forteller,tells
kjærlighet,love
aner,ancestor
slutte,quit
lov,law
nær,near
morsomt,funny
dr,dr
elsket,loved
sender,sends
hardt,hard
lykke,happiness
sitte,sit
middag,dinner
historie,history
skrive,write
beskytte,protect
lyst,lust
dum,stupid
fare,danger
spiser,eats
sak,case
forstå,understand
reise,travel
slo,beat
leter,looking
sex,sex
måten,the way
likte,liked
millioner,millions
damer,ladies
jenter,girls
kjør,drive
fall,fall
spurte,asked
fortalt,told
synd,sin
skikkelig,properly
frem,forth
reddet,saved
idiot,idiot
brukte,used
herrer,gentlemen
york,york
trengte,needed
små,small
følge,follow
følger,follows
kaffe,coffee
sende,send
pris,price
problemet,the problem
vakker,beautiful
foregår,takes place
syk,sick
skyte,shoot
live,live
barnet,the child
prate,talk
ærlig,honest
farlig,dangerous
bruk,use
lot,lot
bo,stay
drikke,drink
svarte,replied
gratulerer,congratulations
land,country
større,bigger
flink,clever
gifte,marry
rette,correct
legger,lays
fortsette,continue
avtale,agreement
nummer,number
slipper,lets go
datteren,the daughter
kvelden,the evening
lese,read
henter,picks up
døra,the door
lurer,wondering
slår,strikes
jaså,yes
gøy,fun
bekymret,worried
ofte,often
herre,master
endelig,finally
ansiktet,the face
masse,mass
åtte,eight
hjertet,the heart
charlie,Charlie
l,l
foreldrene,the parents
døren,the door
kun,only
sto,stood
betaler,pays
ung,young
skjøt,shot
datter,daughter
egne,own
skade,hurt
absolutt,absolutely
traff,hit
enkelt,single
hent,picked up
klokka,the clock
slippe,drop
forklare,explain
stole,trust
skutt,shot
venstre,left
råd,advice
kontakt,contact
krig,war
annerledes,different
verdt,worth
skrev,wrote
